Title,English Title,URL,Score,Genre,Season,Studio,Description
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Kaguya-sama: Love is War - The First Kiss That Never Ends,https://myanimelist.net/anime/52198/Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai,8.85,"Comedy,Drama,Romance,School,Seinen",,A-1 Pictures,"After their first kiss, Kaguya Shinomiya and Miyuki Shirogane are left unsure where their relationship stands. The troubling uncertainty of whether they could be considered an official couple unleashes newfound problems as both Kaguya and Shirogane struggle to sort out their feelings."
Suzume no Tojimari,Suzume,https://myanimelist.net/anime/50594/Suzume_no_Tojimari,8.39,"Adventure,Fantasy,Mythology",,CoMix Wave Films,"On her way to school one day, Suzume Iwato stumbles upon Souta Munakata, a young man searching for abandoned areas. The high school girl directs Souta to a nearby ruin, but out of pure curiosity, she herself decides to head to the same destination."
Raikou Shinki Aigis Magia: Pandra Saga 3rd Ignition - The Animation,,https://myanimelist.net/anime/52561/Raikou_Shinki_Aigis_Magia__Pandra_Saga_3rd_Ignition_-_The_Animation,5.5,Hentai,,BreakBottle,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Tsuma Netori 3: Kairaku ni Ochita Injiru Kyoushi-tachi,,https://myanimelist.net/anime/53229/Tsuma_Netori_3__Kairaku_ni_Ochita_Injiru_Kyoushi-tachi,5.91,Hentai,,Teatro Nishi Tokyo Studio,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Isekai Kita node Sukebe Skill de Zenryoku Ouka Shiyou to Omou The Animation,,https://myanimelist.net/anime/53204/Isekai_Kita_node_Sukebe_Skill_de_Zenryoku_Ouka_Shiyou_to_Omou_The_Animation,7.08,Hentai,,Shion,"Tatsuo is a skilled masturbator who suddenly dies from masturbating too much. After dying, his soul was transferred to an isekai. An isekai goddess grant him a wish, then Tatsuo told him that he wanted a super cock that could make all women sigh with pleasure and make all women unable to live without it. He wants to make a harem with women who are already addicted to his super cock."
Eroriman 2,,https://myanimelist.net/anime/53070/Eroriman_2,6.25,Hentai,,PoRO,"A single man uses a dating site for his kids, especially with high school students, but what he didn't expect is for one of the girls to be his niece."
Boku ni Sexfriend ga Dekita Riyuu,,https://myanimelist.net/anime/52402/Boku_ni_Sexfriend_ga_Dekita_Riyuu,7.28,Hentai,,T-Rex,"Having recently moved with his family, Nanashi is trying to adjust to his new environment. However, this change has a positive aspect: his next-door neighbor is an endearing housewife named Hitomi Rinmuro, who brightens his day every morning. Any interaction with her only arouses Nanashi's sexual fantasies, and he develops a fetish for married women."
Mama Katsu: Midareru Mama-tachi no Himitsu,,https://myanimelist.net/anime/53258/Mama_Katsu__Midareru_Mama-tachi_no_Himitsu,6.76,Hentai,,Nur,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Mesudachi The Animation,,https://myanimelist.net/anime/52904/Mesudachi_The_Animation,7.03,Hentai,,Blue bread,"High school student Takumi Kusuki works as a wood seller in a remote village. One day, he receives a visit from Satsuki Satonaka, his tomboyish childhood friend who once excelled at basketball. When an accident ended her ambitions prematurely, Kusuki was the one who rescued Satsuki, earning him lifelong gratitude from her and her family."
Shouhu Lian Meng ROY6: Senlin Li de Minini,,https://myanimelist.net/anime/53226/Shouhu_Lian_Meng_ROY6__Senlin_Li_de_Minini,N/A,"Slice of Life,Anthropomorphic",,,"Animated adaptation of ROY6, a series of goodies from Line Friends in collaboration with Roy Wang."
Succubus Yondara Gibo ga Kita!?,,https://myanimelist.net/anime/52617/Succubus_Yondara_Gibo_ga_Kita,7.58,Hentai,,T-Rex,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Abandon: 100 Nuki Shinai to Derarenai Fushigi na Kyoushitsu,,https://myanimelist.net/anime/50051/Abandon__100_Nuki_Shinai_to_Derarenai_Fushigi_na_Kyoushitsu,6.32,Hentai,,Rabbit Gate,A mobile app that fulfills a guy's wish to be a porn film director. And the actors will be their own classmates.
Spicy Candy,,https://myanimelist.net/anime/54558/Spicy_Candy,N/A,Music,,Fever Creations,"Spicy is a young, sharp-tongued girl who sings about everyday trivial things, and lives with her black cat named Candy."
Ruguo Lishi Shi Yiqun Miao 9th Season,,https://myanimelist.net/anime/53589/Ruguo_Lishi_Shi_Yiqun_Miao_9th_Season,N/A,"Comedy,Educational,Historical,Kids",,,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Penpe to Pinpi,,https://myanimelist.net/anime/53220/Penpe_to_Pinpi,N/A,Slice of Life,,,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Xiaolan He Ta De Pengyou,,https://myanimelist.net/anime/55060/Xiaolan_He_Ta_De_Pengyou,N/A,Comedy,,,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Ashuai 9th Season,,https://myanimelist.net/anime/53728/Ashuai_9th_Season,N/A,"Comedy,School,Kids",,,Ninth season of 
Jintian Shao Zhu Bu Zaijia,,https://myanimelist.net/anime/55059/Jintian_Shao_Zhu_Bu_Zaijia,N/A,"Comedy,Fantasy",,,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Mameshiba x Zanpa Collab CM,,https://myanimelist.net/anime/54131/Mameshiba_x_Zanpa_Collab_CM,N/A,"Comedy,Music",,,Promotional video for the Mameshiba song 
Futari no Yakusoku,Princesses' Pledge,https://myanimelist.net/anime/55179/Futari_no_Yakusoku,N/A,"Fantasy,CGDCT",,,"Princess Sharena and Princess Veronica are enjoying a nice, relaxing tea break in a garden in full bloom. Perhaps the gods of their two countries are also watching over them..."
Kiyoneko,,https://myanimelist.net/anime/50529/Kiyoneko,N/A,Comedy,,Makaria,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Jokaku Gattai OSHIROBOTS,,https://myanimelist.net/anime/53883/Jokaku_Gattai_OSHIROBOTS,N/A,"Action,Mecha",,,"The project reimagines the historical castles in Japan as giant robots that transform and combine. In particular, the above short features the Kumamoto, Takamatsu, and Aizu-Wakamatsu Castles. A group of children and the Shirodama (the castles' souls, who are actually historical army commanders) join forces to pilot the castles."
Kenkou Takarabune Sukoyaka 7,,https://myanimelist.net/anime/53662/Kenkou_Takarabune_Sukoyaka_7,N/A,"Comedy,Fantasy,Educational",,,"The self-described ""slightly surreal masterpiece anime"" follows the ""Sukoyaka 7,"" a group based on the Seven Lucky Gods of Japanese mythology. The anime explains issues related to Japan's health insurance system in a comedic way."
Roly Poly Peoples,,https://myanimelist.net/anime/52421/Roly_Poly_Peoples,N/A,"Comedy,Anthropomorphic",,Lesprit,Short animation about pill bugs.
Show in Backrooms,,https://myanimelist.net/anime/55356/Show_in_Backrooms,5.12,"Avant Garde,Music",,,A runway show for Japanese clothing brand KAIKO's 2022 lineup.
Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita 4th Season,,https://myanimelist.net/anime/55278/Fudanshi_Shoukan__Isekai_de_Shinjuu_ni_Hameraremashita_4th_Season,N/A,"Boys Love,Fantasy,Isekai",,AQUA ARIS,Fourth season of 
Jing Cui Xian Zun Part 2,The Tale of The Spirit Stone,https://myanimelist.net/anime/53498/Jing_Cui_Xian_Zun_Part_2,N/A,"Action,Adventure,Fantasy,Martial Arts",,Soyep,Second half of 
Niehime to Kemono no Ou Mini Anime,,https://myanimelist.net/anime/54210/Niehime_to_Kemono_no_Ou_Mini_Anime,N/A,"Comedy,Fantasy",,J.C.Staff, shorts posted online prior to the anime's broadcast.
Halloween Pajama,,https://myanimelist.net/anime/53530/Halloween_Pajama,6.2,"Supernatural,Music",,,Short anime by Yasuhiro Irie based on his self-published manga 
Protector,,https://myanimelist.net/anime/53783/Protector,5.93,"Action,Music",,Enishiya,"A short animation depicting Kiriko's past, exclusively released in Japan."
Fire Emblem Heroes: Askr Oukoku Teiten Camera (Eir no 1-nichi),Fire Emblem Heroes: Askr Ambience - A Day With Eir,https://myanimelist.net/anime/53639/Fire_Emblem_Heroes__Askr_Oukoku_Teiten_Camera_Eir_no_1-nichi,N/A,"Fantasy,Slice of Life,Iyashikei",,,Enjoy the ambience as Eir and some other Fire Emblem Heroes go about their day.
Fengzi Wuyu: Xian Luo Pian,,https://myanimelist.net/anime/53251/Fengzi_Wuyu__Xian_Luo_Pian,N/A,"Action,Adventure,Fantasy",,,The second season of 
Kao ni Denai Kashiwada-san to Kao ni Deru Oota-kun CM,,https://myanimelist.net/anime/53368/Kao_ni_Denai_Kashiwada-san_to_Kao_ni_Deru_Oota-kun_CM,5.92,Comedy,,Seven Arcs,Animated commericial by Seven Arcs for Fuyu Azuma's 
Fangyu Quan Kai,Defense Fully Open,https://myanimelist.net/anime/54021/Fangyu_Quan_Kai,N/A,"Action,Fantasy,Martial Arts",,Soyep,"Li Xiaobai, who entered the immersive stand-alone game Faerie Continent, joined the Xianyu Sect of the Northern Territory and became the seventh disciple of Feng Lingzi in Misty Peak. But because the system was artificially modified by an unknown person, he was trapped in the game. Only by completing the final mission: saving the world can you escape."
Jiu Tian Xuan Di Jue 3rd Season,The Success Of Empyrean Xuan Emperor 3rd Season,https://myanimelist.net/anime/53476/Jiu_Tian_Xuan_Di_Jue_3rd_Season,N/A,"Action,Adventure,Fantasy,Martial Arts,Mythology",,Ruo Hong Culture,The third season of 
Kobayashi-san no Tsundere Kouza,,https://myanimelist.net/anime/53958/Kobayashi-san_no_Tsundere_Kouza,5.85,"Comedy,Fantasy,Romance",,AQUA ARIS,Mini anime for 
Wan Jie Zhizun,,https://myanimelist.net/anime/53618/Wan_Jie_Zhizun,N/A,"Action,Adventure,Fantasy,Martial Arts",,Ruo Hong Culture,"Seven years ago, Chu Yunfei was struck by a dramatic change in his family and was stranded in the Pill King Valley in Zhongzhou. He returned to his homeland to take revenge and vowed to find out the truth."
Saikyou Onmyouji Mini,,https://myanimelist.net/anime/54683/Saikyou_Onmyouji_Mini,5.71,Comedy,,AQUA ARIS,Mini anime for 
San Ti,,https://myanimelist.net/anime/50445/San_Ti,6.36,Sci-Fi,,YHKT Entertainment,"The distant butterfly flapped its wings, which begin to change Luo Ji's fate. The Trisolaran fleet will invade in 400 years. Behind the door that opened suddenly was the center of the world—the Wall-Facing Project was launched. At the same time, in the broken room created by Sophon, the broken people are in place one by one..."
Oni: Kamigami Yama no Onari,Oni: Thunder God's Tale,https://myanimelist.net/anime/53432/Oni__Kamigami_Yama_no_Onari,6.98,"Adventure,Drama,Fantasy",,Tonko House,"In a world filled with the oddball gods and monsters of Japanese mythology, one of the creature's free-spirited daughters, Onari, is determined to follow in the footsteps of the mighty heroes of lore, but her unique powers are yet to be revealed. Does she have what it takes to protect her peaceful village from the encroaching presence of the mysterious “Oni” who threaten the gods?"
Wo Zai Xianjie Zheng Jifen,Leveling up in a Fantasy World,https://myanimelist.net/anime/53473/Wo_Zai_Xianjie_Zheng_Jifen,6.31,"Action,Fantasy,Martial Arts",,Quyue Technology,"When he opened his eyes, he was actually in a different world, bound by a silly system, telling him that dominating the world was no longer a dream! And such good things? Qin Huai gave in and became a 007 wage earner in another world, earning points day and night, and of course the result was really fragrant! Divine soldiers, treasures, peerless exercises, and gentle and lovely little junior sisters, all came to their arms! What is the daily life of Zongmen?"
He Wei Dao x Guan Yu Wo Zhuan Sheng Bian Cheng Shi Lai Mu Zhe Dang Shi,,https://myanimelist.net/anime/54050/He_Wei_Dao_x_Guan_Yu_Wo_Zhuan_Sheng_Bian_Cheng_Shi_Lai_Mu_Zhe_Dang_Shi,5.76,"Adventure,Comedy,Fantasy,Shounen",,,A commercial for a Chinese noodle brand
Nanjamo no Aibou wa Nanimono nanja!? (Donna Monja TV),Guess Iono's Partner Pokémon!,https://myanimelist.net/anime/53327/Nanjamo_no_Aibou_wa_Nanimono_nanja_Donna_Monja_TV,5.84,Kids,,,"Digital influencer, streamer, and Gym Leader Nanjamo introduces herself and asks the audience to guess what her partner Pokémon is."
Juedai Shuang Jiao,Legendary Twins,https://myanimelist.net/anime/49750/Juedai_Shuang_Jiao,6.79,"Action,Martial Arts",,BYMENT,"The follows a pair of twin brothers who, because of a feud between two formidable martial artists, were separated at birth and raised on opposing sides."
Chi Yan Jinyiwei,The Flame Imperial Guards,https://myanimelist.net/anime/49432/Chi_Yan_Jinyiwei,N/A,Fantasy,,Chosen,"Introduction: Chi Yan Jin Yiwei Qin Hu and his companions believe in ""the emperor guards the country, the brocade guards the country, the chivalrous bones hide the rivers and lakes, and a hundred deaths will not leave a name"", and they bravely fight against the rebel forces to protect the country and the country. It not only has the sense of responsibility of Jin Yiwei to protect the peace of the country, but also has the chivalrous heart of the sons and daughters of the rivers and lakes. Qin Hu, who has always been unruly and unruly, is gradually involved in a shocking conspiracy concerning the common people of the world due to the investigation of a bizarre murder case. At the same time, he also uncovers the mystery of his life experience that has been buried for more than 20 years. In the investigation of extremely dangerous cases again and again, the threat of the enemy, the betrayal of his colleagues, and the suspicion of his partners did not destroy Qin Hu's ambition for justice. In the end, his personality charm infected his partners, and everyone overcame all difficulties and feared power, just to seek peace for the innocent lives lost."
Cang Lan Jue Part 2,Love Between Fairy and Devil Part 2,https://myanimelist.net/anime/53905/Cang_Lan_Jue_Part_2,7.13,"Comedy,Fantasy,Romance,Historical",,,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Binghuo Mochu 2,The Magic Chef of Ice and Fire 2nd Season,https://myanimelist.net/anime/53477/Binghuo_Mochu_2,6.95,"Action,Adventure,Fantasy",,Joicy Studio,The second season of 
Changye Kaita Zhe,The Sword Of Dawn,https://myanimelist.net/anime/50446/Changye_Kaita_Zhe,6.68,"Action,Fantasy",,CG Year,"Gaowei crossed in an airplane accident and appeared on the Loren continent as the ancestor of the Cecil family. In the face of the declining family, he re-expanded the territory, and in the face of class barriers, he used the wisdom of the people. But the crazy and stubborn cultists and the potential crisis of the magic tide are still there, how should Gaowei face the world that is about to usher in the end of the era..."
Shin Shinka no Mi Gekijou,,https://myanimelist.net/anime/53595/Shin_Shinka_no_Mi_Gekijou,5.65,Comedy,,AQUA ARIS, shorts streamed on the official YouTube channel prior to the series' premiere.
Pole Princess!! Prologue,,https://myanimelist.net/anime/53934/Pole_Princess_Prologue,5.15,Performing Arts,,Tatsunoko Production,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Da Li Si Rizhi 2nd Season,White Cat Legend Season 2,https://myanimelist.net/anime/50240/Da_Li_Si_Rizhi_2nd_Season,7.35,"Action,Comedy,Fantasy,Mystery,Historical,Martial Arts,Mythology",,,Second season of 
Yinhe Zhi Xin,Foreordination,https://myanimelist.net/anime/44233/Yinhe_Zhi_Xin,6.4,"Action,Sci-Fi",,Chosen,"Li Yuesu, a cosmic wanderer, accidentally discovered the immigrant spacecraft ""Shangjia"" that disappeared many years ago, and witnessed a terrifying anomaly... People gradually realized the great danger that is approaching humanity. After several twists and turns, Kony finally All forces in the Seoul Star Territory had to work together to deal with powerful enemies. Unexpectedly, the strength of the alien race is beyond imagination. When the humans in the Conil star field were wiped out, they had to send Li Yuesu to the powerful human civilization in the heart of the galaxy for help..."
Xingchen Bian 5th Season,Legend of Immortals 5th Season,https://myanimelist.net/anime/51769/Xingchen_Bian_5th_Season,7.5,"Action,Adventure,Fantasy,Romance,Martial Arts",,Foch Films,Fifth season of 
Joshikousei to Mahou no Note,,https://myanimelist.net/anime/49851/Joshikousei_to_Mahou_no_Note,N/A,"Fantasy,School",,Noovo,"The story follows Yuzuki Shidou, a second-year high school student who can't find what she wants to do. One day, a fairy named Buruburu suddenly appears before her and teaches her how to find and fulfill her dreams."
Wuxian Shijie,The Infinitors,https://myanimelist.net/anime/50432/Wuxian_Shijie,6.62,"Action,Fantasy,Supernatural",,Wonder Cat Animation,"An affluent white-collar worker receives a mysterious invitation: ""Would you like to know what life is about?"" ""Would you like to live your life fully?"" It is sent into the unpredictable space of the Lord God, and future human beings will invite and challenge the present world, and the different challenges that humans face during the era of great universe development will be simulated as copies as well. The ""copies"" will guide the selected people to overcome many traps, meet life-and-death comrades, and become leaders. All of this is in the interest of human evolution, survival, and infinite futures!"
Yuan Long 3rd Season,Carp Reborn 3rd Season,https://myanimelist.net/anime/50406/Yuan_Long_3rd_Season,6.22,"Action,Adventure,Fantasy",,CG Year,Third season of 
Xue Yu Xin,Blood and Heart: The Legendary Life of a Japanese Youth in China,https://myanimelist.net/anime/51549/Xue_Yu_Xin,6.6,"Drama,Historical",,Changchun Unity of Knowledge and Action Animation,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Bai Lian Cheng Shen,Apotheosis,https://myanimelist.net/anime/52949/Bai_Lian_Cheng_Shen,6.85,"Action,Adventure,Fantasy,Historical,Martial Arts",,Qingxiang Culture,"Zheng Luo, who is now a menial slave, used to be a young master of a big family. Owing to the decline of his family, his sister is imprisoned by a strong force, and he has no choice but to be at others' service. However, every cloud has a silver lining. The ancient book left by his father actually conceals a magical spell that can change a human into an instrument! What is the mysterious power behind this? This is contest with fate."
Xing Yu Siwan Nian,Forty Millenniums of Cultivation,https://myanimelist.net/anime/51390/Xing_Yu_Siwan_Nian,7.33,"Action,Fantasy,Sci-Fi",,DC Impression Vision,"Li Yao, a genius craftsman, has been unable to break through the bottleneck due to the low development of his psychic powers, and then he obtained 40,000 years of cultivation by chance. Knowledge, thus opened up, but still missed the joint entrance examination. With the encouragement of friends and mentors, relying on his willpower to regain the opportunity to participate in the joint entrance examination, he finally entered the university of his choice and entered the story of realizing his dream of becoming a craftsman."
Shen Yin Wangzuo 2nd Season,Throne of Seal 2nd Season,https://myanimelist.net/anime/52684/Shen_Yin_Wangzuo_2nd_Season,7.91,"Action,Adventure,Fantasy",,Shenman Entertainment,"Revealing himself to be a Dual Knight, Long Hao Chen triumphs in his match within his temple and advances to the finals. But before the grand finals can begin, ranking matches are conducted in each temple to determine the strongest within. During the rankings, Hao Chen is injured, enraging Sheng Cai'er and driving her to seek vengeance for what happened to him. Her actions cause a fight between the Knight Temple and Assassin Temple, only to be subdued after a shocking revelation—that Sheng Cai'er is a Reincarnated Saint."
"Eiyuuou, Bu wo Kiwameru Tame Tenseisu Mini Anime",,https://myanimelist.net/anime/53619/Eiyuuou_Bu_wo_Kiwameru_Tame_Tenseisu_Mini_Anime,5.9,Fantasy,,AQUA ARIS,Mini anime for the 
Lian Qi Lianle 3000 Nian,Qi Refining for 3000 Years,https://myanimelist.net/anime/50538/Lian_Qi_Lianle_3000_Nian,6.71,"Action,Adventure,Comedy,Fantasy",,Foch Films,"Bai Qiuran is one of Qingming's disciples, and has a lot of potential to be his successor. Even though he's still a Qi cultivator, he believes he will finally make his breakthrough this time. As such, Bai Qiuran decides to go down the mountain where exciting experiences await him."
Kemonokko Tsuushin: The Animation - Nekomusume Nia,,https://myanimelist.net/anime/53947/Kemonokko_Tsuushin__The_Animation_-_Nekomusume_Nia,6.43,Hentai,,,"Single and middle-aged Toru Negishi registers for a sexual pet website that is said to give its users a free beast girl. Asking for a catgirl while signing up, Negishi is surprised when his request is immediately accepted. Suddenly, a magic circle appears in his living room, summoning a catgirl in heat called Nia. Unluckily for her, she arrives from another world having just masturbated and, therefore, naked. Nia is initially displeased with what happened, but after living with Negishi for some time, she starts to feel sexually attracted toward him."
Slime-tachi no Idobata Kaigi 2nd Season,,https://myanimelist.net/anime/53955/Slime-tachi_no_Idobata_Kaigi_2nd_Season,5.87,"Comedy,Fantasy",,AQUA ARIS,Mini anime for 
Umayuru,,https://myanimelist.net/anime/51772/Umayuru,6.77,Comedy,,Scooter Films,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Blue Archive: Beautiful Day Dreamer,,https://myanimelist.net/anime/53670/Blue_Archive__Beautiful_Day_Dreamer,6.85,"Fantasy,Sports,Video Game",,Yostar Pictures,"The short centers on the Game Development Department of Millennium Science School, and shows Momoi being roped into various activities as she struggles to come up with ideas for a game's story."
Yi Ren Zhi Xia 5th season,The Outcast 5th Season,https://myanimelist.net/anime/51191/Yi_Ren_Zhi_Xia_5th_season,6.68,"Action,Supernatural,Super Power",,Qiyuan Yinghua,The fifth season of 
Modern Love Tokyo: Kare ga Kanaderu Futari no Shirabe,Modern Love Tokyo: He's Playing Our Song,https://myanimelist.net/anime/53585/Modern_Love_Tokyo__Kare_ga_Kanaderu_Futari_no_Shirabe,7.55,Romance,,The Answer Studio,"Though her high school days are long behind her, Tamami Sakurai is still just as awkward and clumsy as ever. At night, she is often seen at a local Tokyo bar, which has become a safe haven from her stressful job. After a few too many drinks, Tamami begins to feel as if she is invincible, but the hangover afterward begs to differ."
Zen: Grogu to Makkuro Kurosuke,Zen - Grogu and Dust Bunnies,https://myanimelist.net/anime/53599/Zen__Grogu_to_Makkuro_Kurosuke,6.15,"Action,Adventure,Sci-Fi,Military,Space",,Studio Ghibli, is a hand-drawn animated short by Studio Ghibli.
Futari-bun no Shoumei,Proof of Two,https://myanimelist.net/anime/53933/Futari-bun_no_Shoumei,7.47,Drama,,Flat Studio,"The story follows three friends grappling with school, studies, and relationships. Kouki Uchiyama will play Takuya Amano, a boy who will move to Hokkaido after finishing middle school. Yui Ishikawa plays Haruka Kishi, Takuya's childhood friend. Daisuke Fujita plays Tsubasa Miyake, a mutual friend of Takuya and Haruka who attends the Eikoh Seminar school. "
Li Shi Zhentan Shiwusuo: A Day in Lungmen,Lee's Detective Agency: A Day in Lungmen,https://myanimelist.net/anime/53852/Li_Shi_Zhentan_Shiwusuo__A_Day_in_Lungmen,6.56,"Comedy,Mystery,Anthropomorphic,Detective",,Gravity Well,"A mysterious man by the name of Lee dwells with Aak, Hung, and Waai Fu in the dark alleyways of Lungmen City. Styling themselves as Lee's Detective Agency, they strove to run errands, investigate mysteries, and mediate disputes for their neighbors. Herein lists a few of their actual yet strange cases to go with your tea."
Liang Bu Yi 2nd Season,No Doubt In Us,https://myanimelist.net/anime/50403/Liang_Bu_Yi_2nd_Season,7.41,"Comedy,Romance,Historical",,,Second season of 
Pole Princess!!,,https://myanimelist.net/anime/53680/Pole_Princess,5.48,Performing Arts,,Tatsunoko Production,"The story centers on Hinano, a very normal and mild-mannered 17-year-old girl. Since she was very young her grandmother ran a planetarium that Hinano loved, but one day Hinano found out that the planetarium would be closing down. Hinano worried about whether there was anything she could do for her grandmother and for the planetarium, and she coincidentally one day catches sight of a woman dancing on a pole under a starry sky. She gathers her friends and together they set up a stage in the planetarium to perform shows, and they jump into the world of pole dancing. "
Harem Camp!,,https://myanimelist.net/anime/52717/Harem_Camp,6.61,Hentai,,Studio Hokiboshi,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Showtime! Uta no Oneesan datte Shitai 2,Show Time! 2,https://myanimelist.net/anime/50469/Showtime_Uta_no_Oneesan_datte_Shitai_2,6.8,Hentai,,Rabbit Gate,Second season of 
Kagejitsu!,,https://myanimelist.net/anime/53406/Kagejitsu,7.09,"Comedy,Fantasy,Isekai,Reincarnation",,Studio PuYUKAI,A spin-off chibi anime of 
Exception,,https://myanimelist.net/anime/49163/Exception,6.45,"Sci-Fi,Space",,Bakken Record,"In the distant future, human beings have been forced to leave earth and migrate to another galaxy. An advanced team of spacecraft arrives at a planet that is to be terraformed. Each member of the team is output by a biological 3D printer. "
Shi Cao Lao Long Bei Guan Yi E Long Zhi Ming,"A Herbivorous Dragon of 5,000 Years Gets Unfairly Villainized",https://myanimelist.net/anime/50421/Shi_Cao_Lao_Long_Bei_Guan_Yi_E_Long_Zhi_Ming,6.78,"Adventure,Comedy,Fantasy",,LAN Studio,"A 5000-year-old herbivorous dragon was living peacefully when one day a young girl showed up in his cave. She offered herself as a sacrifice in order to gain favor for her village. He played along as the great ""Evil Dragon, the Demon Lord's Army Leader"" in order to get rid of her. However, his little white lie awoke her hidden powers and his peaceful life suddenly ended. "
Road of Naruto,,https://myanimelist.net/anime/53236/Road_of_Naruto,8.48,"Action,Fantasy,Martial Arts,Shounen",,Pierrot,In celebration of 20 years of 
Holo no Graffiti,Holo Graffiti,https://myanimelist.net/anime/44042/Holo_no_Graffiti,8.23,Comedy,,Hololive Production,"From unraveling the secrets of opening and closing doors to defusing surprise packages more commonly known as bombs, there is never a dull day at the Hololive Production office! "
Kidou Senshi Gundam: Tekketsu no Orphans - Urdr Hunt,Mobile Suit Gundam: Iron-Blooded Orphans - Urdr Hunt,https://myanimelist.net/anime/38982/Kidou_Senshi_Gundam__Tekketsu_no_Orphans_-_Urdr_Hunt,N/A,"Action,Drama,Sci-Fi,Mecha,Space",,Sunrise Beyond,"Year P.D. 323. Gjallarhorn's political intervention into the Arbrau central parliament escalated into an armed conflict using mobile suits. The incident was brought to an end by Tekkadan, a group of boys who came from Mars."
Tiger & Bunny 2 Part 2,,https://myanimelist.net/anime/52291/Tiger___Bunny_2_Part_2,7.52,"Action,Comedy,Mystery,Adult Cast,Super Power",,Bandai Namco Pictures,Second half of the second season of 
Nanatsu no Taizai: Ensa no Edinburgh,The Seven Deadly Sins: Grudge of Edinburgh,https://myanimelist.net/anime/50315/Nanatsu_no_Taizai__Ensa_no_Edinburgh,6.13,"Action,Adventure,Fantasy,Supernatural",,Marvy Jack,"Tristan, the son of Meliodas and Elizabeth, inherits the power of the Goddess Clan and can heal people's wounds and injuries, but he often ends up hurting others due to his inability to control his Demon Clan power. To protect his family, Tristan heads to Edinburgh Castle and meets a host of new friends along the way."
Lupin Zero,,https://myanimelist.net/anime/53414/Lupin_Zero,7.38,"Action,Comedy,Seinen",,Telecom Animation Film,"How did this young boy become notorious gentleman thief ""Lupin III""?"
Romantic Killer,,https://myanimelist.net/anime/52865/Romantic_Killer,8.06,"Comedy,Romance,Supernatural,Parody,Reverse Harem,Shounen",,domerica,"Anzu Hoshino needs only three things in her life: video games, chocolate, and her beloved cat. Unlike other high school girls, Anzu has no time for or interest in romance. But as she begins playing a poorly programmed 3D otome game, a bizarre flying wizard named Riri emerges from the screen and calls Anzu ""subject one,"" the first person who will experience a dating game harem storyline in real life."
Madtoy Chatty,,https://myanimelist.net/anime/52463/Madtoy_Chatty,N/A,Comedy,Spring 2022,Kachidoki Studio,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Shadowverse Flame,,https://myanimelist.net/anime/50060/Shadowverse_Flame,6.74,"Fantasy,Strategy Game",Spring 2022,Zexcs,"Shadowverse Flame features a new protagonist Light Tenryu and its story is set in Shadowverse College, a facility that trains professional players of the Shadowverse game. Tenryu Light, a transfer student, decides to join ""Seventh Flame,"" one of the seven Shadowverse clubs. However, Seventh Flame is on the verge of closure due to a lack of members! In order to avoid the club's demise, Light decides to look for new members. But what awaits him are powerful rivals who control a wide variety of cards..."
Cap Kakumei Bottleman DX,Cap Revolution Bottleman DX,https://myanimelist.net/anime/51155/Cap_Kakumei_Bottleman_DX,N/A,"Action,Strategy Game,Kids",Spring 2022,Gaina,Second season of 
Oemojisangjuui,Lookism,https://myanimelist.net/anime/53149/Oemojisangjuui,7.5,"Action,Drama,Supernatural",,Studio Mir,"Violence, name-calling, and humiliation are a daily reality for high school student Park Hyung Suk. Chubby and insecure, he is often used as a plaything and punching bag for bullies, which leads him to wish he could just disappear. Unexpectedly, when he transfers schools in the hopes of starting anew, a miraculous opportunity emerges: he awakens in a tall, handsome, and strangely athletic body. Hyung Suk quickly realizes that he is now the owner of two disparate bodies; when one falls asleep, he wakes up in the other."
Youkai Watch ♪,,https://myanimelist.net/anime/48365/Youkai_Watch_%E2%99%AA,6.31,"Comedy,Supernatural,Mythology,Kids",Spring 2021,OLM,"The new show will feature unique and returning Yo-kai. The comedy will also center on the original series' main characters: fifth-grader Keita (Nate in the English version), ghost butler Whisper, and popular Yo-kai like Jibanyan and Komasan. The original cast members for these four characters are returning for this new series."
